INTRPRETE;CàDIGO;TÖTULO;INÖCIO DA LETRA
A VIGÍLIA 2;05608;ESTAMOS AQUI;Estamos aqui na casa de Deus...
A Zorra;09574;A COR DA ESPERANÇA;Sei
Abba;04877;CHIQUITITA;Chiquitita tell me what's wrong...
Abba;09116;I HAVE A DREAM;I have a dream a song to sing…
Abba;02533;MAMMA MIA;I've been cheated by you since I don't
Abba;19333;FERNANDO;Can you hear the drums Fernando
Abba;19768;KNOWING ME KNOWING YOU;No more carefree laughter
Abba;04574;DANCING QUEEN;Yeah! You can dance you can jive
Abba;04787;THE WINNER TAKES IT ALL;I don’t wanna talk...
Abelhudos;01804;AS CRIANÇAS E OS ANIMAIS;Ê ô ê ô
Abilio Farias;15130;O GENRO ODIADO;Desculpa mulher resolvi mil desculpas pedir
Abílio Farias;01790;VOU FECHAR O CABARÉ;Esperei tanto 
Abílio Farias;15049;CORAÇÃO INDECISO;Um coração indeciso busquei no céu um 
Absyntho;06355;SÓ A LUA;Lembro que ela disse meio triste...
AC-DC;05870;BACK IN BLACK;Back in black I hit the sack
AC-DC;02606;HIGHWAY TO HELL;Livin' easy lovin' free
AC-DC;19696;FOR THOSE ABOUT TO ROCK (WE SALUTE YOU);We roll tonight to the guitar bite
Ace of Base;04857;ALL THAT SHE WANTS;She leads a lonely life...
Ace of Base;19568;DON'T TURN AROUND;Don't tell me that you wanna leave
Ace of Base;19687;BEAUTIFUL LIFE;You can do what you want just seize the day
Ace of Base;19795;THE SIGN;I I got a new life 
Ace of Base ;09221;HAPPY NATION ;Laudate omnes gentes laudate 
Adair Cardoso;01710;QUE SE DANE O MUNDO;E que se dane o mundo e que se dane
Adalberto E Adriano;03726;SEPARAÇÃO;Qual terá sido o motivo da nossa
Adele;02569;ROLLING IN THE DEEP;There's a fire starting in my heart
Adele;02600;SOMEONE LIKE YOU;I've made up my mind
Adele;02603;CHASING PAVEMENTS;I heard that you're settled down
Adele;02627;SET FIRE TO THE RAIN;I let it fall my heart and as I fell
Adele;19068;SKYFALL;This is the end hold your breath and count
Adele;19362;HELLO;Hello it's me
Adele;19404;WHEN WE WERE YOUNG;Everybody loves the things you do
Adele;19493;SEND MY LOVE (TO YOUR NEW LOVER);This was all you none of it me put your hands all
Adele;19534;ONE AND ONLY;You've been on my mind
Adele;19678;WATER UNDER THE BRIDGE;If you're not the one for me
Adele;19741;MAKE YOU FEEL MY LOVE;When the rain is blowing in your face
Adhemar de Campos (Comunidade da Graça);02986;NOSSO GENERAL;Pelo Senhor marchamos sim o Seu
Adílson Ramos;06982;SONHAR CONTIGO;Sonhar contigo por toda vida…
Adoniran Barbosa;16322;APAGA O FOGO MANÉ;Inez saiu dizendo que ia comprar um pavio
Adoniran Barbosa;07062;AS MARIPOSAS;As mariposa quando chega o frio
Adoração e Adoradores;07782;FAZ CHOVER;Assim como a corsa anseia por águas
Adoração e Adoradores;07887;VIM PARA ADORAR-TE;Luz do mundo vieste à terra
Adrian Gurvitz;19726;CLASSIC;Got to write a classic
Adriana;09466;I LOVE YOU BABY;Difícil é viver sem teu amor
Adriana Calcanhoto;07648;NAQUELA ESTAÇÃO;Você entrou no trem
Adriana Calcanhoto;07668;PELOS ARES;Não lhe peço nada
Adriana Calcanhoto;07661;OUTRA VEZ;Outra vez sem você outra vez sem amor
Adriana Calcanhoto;09450;ESQUADROS;Eu ando pelo mundo prestando atenção
Adriana Calcanhoto;09846;MULHER SEM RAZÃO;Saia dessa vida de migalhas
Adriana Calcanhoto;01119;SEU PENSAMENTO;A uma hora dessas
Adriana Calcanhoto;01297;MARESIA;Meu amor me deixou levou minha identi
Adriana Calcanhoto;01581;CANÇÃO DE NOVELA;Toalha molhada
Adriana Calcanhoto;02798;METADE;Eu perco o chão
Adriana Calcanhoto;04138;VAMBORA;Entre por essa porta agora
Adriana Calcanhoto;04160;MAIS FELIZ;O nosso amor não vai parar
Adriana Calcanhoto;04161;MENTIRAS;Nada ficou no lugar
Adriana Calcanhoto;06126;DEVOLVA-ME;Rasgue as minhas cartas...
Adriana Calcanhoto;06573;JUSTO AGORA;Eu ouvi dizer que você assim…
